country_region,region,continent,iso3c,income_group,pais_region,continente,region_es,grupo_ingreso,pais_nombre_corto
Afghanistan,South Asia,Asia,AFG,Low income,Afganistán,Asia,Asia del Sur,Ingreso bajo,
Albania,Europe & Central Asia,Europe,ALB,Upper middle income,Albania,Europa,Europa y Asia Central,Ingreso medio alto,
Algeria,Middle East & North Africa,Africa,DZA,Upper middle income,Argelia,Africa,Oriente Medio y Africa del Norte,Ingreso medio alto,
Andorra,Europe & Central Asia,Europe,AND,High income,Andorra,Europa,Europa y Asia Central,Ingreso alto,
Angola,Sub-Saharan Africa,Africa,AGO,Lower middle income,Angola,Africa,Africa subsahariana,Ingreso medio bajo,
Antigua and Barbuda,Latin America & Caribbean,Americas,ATG,High income,Antigua y Barbuda,América,América Latina y el Caribe,Ingreso alto,
Argentina,Latin America & Caribbean,Americas,ARG,Upper middle income,Argentina,América,América Latina y el Caribe,Ingreso medio alto,Argentina
Armenia,Europe & Central Asia,Europe,ARM,Upper middle income,Armenia,Europa,Europa y Asia Central,Ingreso medio alto,
Australia,East Asia & Pacific,Oceania,AUS,High income,Australia,Oceanía,Asia oriental y el Pacífico,Ingreso alto,
Austria,Europe & Central Asia,Europe,AUT,High income,Austria,Europa,Europa y Asia Central,Ingreso alto,
Azerbaijan,Europe & Central Asia,Asia,AZE,Upper middle income,Azerbaiyán,Asia,Europa y Asia Central,Ingreso medio alto,
Bahamas,Latin America & Caribbean,Americas,BHS,High income,Bahamas,América,América Latina y el Caribe,Ingreso alto,
Bahrain,Middle East & North Africa,Asia,BHR,High income,Bahrein,Asia,Oriente Medio y Africa del Norte,Ingreso alto,
Bangladesh,South Asia,Asia,BGD,Lower middle income,Bangladesh,Asia,Asia del Sur,Ingreso medio bajo,
Barbados,Latin America & Caribbean,Americas,BRB,High income,Barbados,América,América Latina y el Caribe,Ingreso alto,
Belarus,Europe & Central Asia,Europe,BLR,Upper middle income,Belarús,Europa,Europa y Asia Central,Ingreso medio alto,
Belgium,Europe & Central Asia,Europe,BEL,High income,Bélgica,Europa,Europa y Asia Central,Ingreso alto,
Belize,Latin America & Caribbean,Americas,BLZ,Upper middle income,Belice,América,América Latina y el Caribe,Ingreso medio alto,
Benin,Sub-Saharan Africa,Africa,BEN,Low income,Benin,Africa,Africa subsahariana,Ingreso bajo,
Bolivia,Latin America & Caribbean,Americas,BOL,Lower middle income,Bolivia (Estado Plurinacional de),América,América Latina y el Caribe,Ingreso medio bajo,Bolívia
Bosnia and Herzegovina,Europe & Central Asia,Europe,BIH,Upper middle income,Bosnia y Herzegovina,Europa,Europa y Asia Central,Ingreso medio alto,
Botswana,Sub-Saharan Africa,Africa,BWA,Upper middle income,Botswana,Africa,Africa subsahariana,Ingreso medio alto,
Brazil,Latin America & Caribbean,Americas,BRA,Upper middle income,Brasil,América,América Latina y el Caribe,Ingreso medio alto,Brasil
Brunei,South Asia,Asia,BRN,High income,Brunei Darussalam,Asia,Asia del Sur,Ingreso alto,
Bulgaria,Europe & Central Asia,Europe,BGR,Upper middle income,Bulgaria,Europa,Europa y Asia Central,Ingreso medio alto,
Burkina Faso,Sub-Saharan Africa,Africa,BFA,Low income,Burkina Faso,Africa,Africa subsahariana,Ingreso bajo,
Burma,South Asia,Asia,MMR,Lower middle income,Myanmar,Asia,Asia del Sur,Ingreso medio bajo,
Burundi,Sub-Saharan Africa,Africa,BDI,Low income,Burundi,Africa,Africa subsahariana,Ingreso bajo,
Cabo Verde,Sub-Saharan Africa,Africa,CPV,Lower middle income,Cabo Verde,Africa,Africa subsahariana,Ingreso medio bajo,
Cameroon,Sub-Saharan Africa,Africa,CMR,Lower middle income,Camerún,Africa,Africa subsahariana,Ingreso medio bajo,
Canada,North America,Americas,CAN,High income,Canadá,América,América del Norte,Ingreso alto,
Central African Republic,Sub-Saharan Africa,Africa,CAF,Low income,República Centroafricana,Africa,Africa subsahariana,Ingreso bajo,
Chad,Sub-Saharan Africa,Africa,TCD,Low income,Chad,Africa,Africa subsahariana,Ingreso bajo,
Chile,Latin America & Caribbean,Americas,CHL,High income,Chile,América,América Latina y el Caribe,Ingreso alto,Chile
China,East Asia & Pacific,Asia,CHN,Upper middle income,China,Asia,Asia oriental y el Pacífico,Ingreso medio alto,
Colombia,Latin America & Caribbean,Americas,COL,Upper middle income,Colombia,América,América Latina y el Caribe,Ingreso medio alto,Colômbia
Comoros,Sub-Saharan Africa,Africa,COM,Lower middle income,Comoras,Africa,Africa subsahariana,Ingreso medio bajo,
Congo (Brazzaville),Sub-Saharan Africa,Africa,COG,Lower middle income,Congo,Africa,Africa subsahariana,Ingreso medio bajo,
Congo (Kinshasa),Sub-Saharan Africa,Africa,COD,Low income,República Democrática del Congo,Africa,Africa subsahariana,Ingreso bajo,
Costa Rica,Latin America & Caribbean,Americas,CRI,Upper middle income,Costa Rica,América,América Latina y el Caribe,Ingreso medio alto,Costa Rica
Cote d'Ivoire,Sub-Saharan Africa,Africa,CIV,Lower middle income,Côte d'Ivoire,Africa,Africa subsahariana,Ingreso medio bajo,
Croatia,Europe & Central Asia,Europe,HRV,High income,Croacia,Europa,Europa y Asia Central,Ingreso alto,
Cuba,Latin America & Caribbean,Americas,CUB,Upper middle income,Cuba,América,América Latina y el Caribe,Ingreso medio alto,Cuba
Cyprus,Europe & Central Asia,Europe,CYP,High income,Chipre,Europa,Europa y Asia Central,Ingreso alto,
Czechia,Europe & Central Asia,Europe,CZE,High income,República Checa,Europa,Europa y Asia Central,Ingreso alto,
Denmark,Europe & Central Asia,Europe,DNK,High income,Dinamarca,Europa,Europa y Asia Central,Ingreso alto,
Djibouti,Middle East & North Africa,Africa,DJI,Lower middle income,Djibouti,Africa,Oriente Medio y Africa del Norte,Ingreso medio bajo,
Dominican Republic,Latin America & Caribbean,Americas,DOM,Upper middle income,República Dominicana,América,América Latina y el Caribe,Ingreso medio alto,República Dominicana
Ecuador,Latin America & Caribbean,Americas,ECU,Upper middle income,Ecuador,América,América Latina y el Caribe,Ingreso medio alto,Equador
Egypt,Middle East & North Africa,Africa,EGY,Lower middle income,Egipto,Africa,Oriente Medio y Africa del Norte,Ingreso medio bajo,
El Salvador,Latin America & Caribbean,Americas,SLV,Lower middle income,El Salvador,América,América Latina y el Caribe,Ingreso medio bajo,El Salvador
Equatorial Guinea,Sub-Saharan Africa,Africa,GNQ,Upper middle income,Guinea Ecuatorial,Africa,Africa subsahariana,Ingreso medio alto,
Estonia,Europe & Central Asia,Europe,EST,High income,Estonia,Europa,Europa y Asia Central,Ingreso alto,
Eswatini,Sub-Saharan Africa,Africa,SWZ,Lower middle income,Swazilandia,Africa,Africa subsahariana,Ingreso medio bajo,
Ethiopia,Sub-Saharan Africa,Africa,ETH,Low income,Etiopía,Africa,Africa subsahariana,Ingreso bajo,
Finland,Europe & Central Asia,Europe,FIN,High income,Finlandia,Europa,Europa y Asia Central,Ingreso alto,
France,Europe & Central Asia,Europe,FRA,High income,Francia,Europa,Europa y Asia Central,Ingreso alto,
Gabon,Sub-Saharan Africa,Africa,GAB,Upper middle income,Gabón,Africa,Africa subsahariana,Ingreso medio alto,
Gambia,Sub-Saharan Africa,Africa,GMB,Low income,Gambia (República de),Africa,Africa subsahariana,Ingreso bajo,
Georgia,Europe & Central Asia,Europe,GEO,Upper middle income,Georgia,Europa,Europa y Asia Central,Ingreso medio alto,
Germany,Europe & Central Asia,Europe,DEU,High income,Alemania,Europa,Europa y Asia Central,Ingreso alto,
Ghana,Sub-Saharan Africa,Africa,GHA,Lower middle income,Ghana,Africa,Africa subsahariana,Ingreso medio bajo,
Greece,Europe & Central Asia,Europe,GRC,High income,Grecia,Europa,Europa y Asia Central,Ingreso alto,
Guatemala,Latin America & Caribbean,Americas,GTM,Upper middle income,Guatemala,América,América Latina y el Caribe,Ingreso medio alto,Guatemala
Guinea,Sub-Saharan Africa,Africa,GIN,Low income,Guinea,Africa,Africa subsahariana,Ingreso bajo,
Guinea-Bissau,Sub-Saharan Africa,Africa,GNB,Low income,Guinea Bissau,Africa,Africa subsahariana,Ingreso bajo,
Guyana,Latin America & Caribbean,Americas,GUY,Upper middle income,Guyana,América,América Latina y el Caribe,Ingreso medio alto,
Haiti,Latin America & Caribbean,Americas,HTI,Low income,Haití,América,América Latina y el Caribe,Ingreso bajo,Haiti
Honduras,Latin America & Caribbean,Americas,HND,Lower middle income,Honduras,América,América Latina y el Caribe,Ingreso medio bajo,Honduras
"Hong Kong SAR, China",East Asia & Pacific,Asia,HKG,High income,Hong Kong,Asia,Asia oriental y el Pacífico,Ingreso alto,
Hungary,Europe & Central Asia,Europe,HUN,High income,Hungría,Europa,Europa y Asia Central,Ingreso alto,
Iceland,Europe & Central Asia,Europe,ISL,High income,Islandia,Europa,Europa y Asia Central,Ingreso alto,
India,South Asia,Asia,IND,Lower middle income,India,Asia,Asia del Sur,Ingreso medio bajo,
Indonesia,East Asia & Pacific,Asia,IDN,Lower middle income,Indonesia,Asia,Asia oriental y el Pacífico,Ingreso medio bajo,
Iran,Middle East & North Africa,Asia,IRN,Upper middle income,Irán (República Islámica del),Asia,Oriente Medio y Africa del Norte,Ingreso medio alto,
Iraq,Middle East & North Africa,Asia,IRQ,Upper middle income,Iraq,Asia,Oriente Medio y Africa del Norte,Ingreso medio alto,
Ireland,Europe & Central Asia,Europe,IRL,High income,Irlanda,Europa,Europa y Asia Central,Ingreso alto,
Israel,Middle East & North Africa,Asia,ISR,High income,Israel,Asia,Oriente Medio y Africa del Norte,Ingreso alto,
Italy,Europe & Central Asia,Europe,ITA,High income,Italia,Europa,Europa y Asia Central,Ingreso alto,
Jamaica,Latin America & Caribbean,Americas,JAM,Upper middle income,Jamaica,América,América Latina y el Caribe,Ingreso medio alto,
Japan,East Asia & Pacific,Asia,JPN,High income,Japón,Asia,Asia oriental y el Pacífico,Ingreso alto,
Jordan,Middle East & North Africa,Asia,JOR,Upper middle income,Jordania,Asia,Oriente Medio y Africa del Norte,Ingreso medio alto,
Kazakhstan,Europe & Central Asia,Asia,KAZ,Upper middle income,Kazajstán,Asia,Europa y Asia Central,Ingreso medio alto,
Kenya,Sub-Saharan Africa,Africa,KEN,Lower middle income,Kenya,Africa,Africa subsahariana,Ingreso medio bajo,
"Korea, South",East Asia & Pacific,Asia,KOR,High income,República de Corea,Asia,Asia oriental y el Pacífico,Ingreso alto,
Kosovo,Europe & Central Asia,Europe,RKS,NA,Kosovo,Europa,Europa y Asia Central,NA,
Kuwait,Middle East & North Africa,Asia,KWT,High income,Kuwait,Asia,Oriente Medio y Africa del Norte,Ingreso alto,
Kyrgyzstan,Europe & Central Asia,Asia,KGZ,Lower middle income,Kirguistán,Asia,Europa y Asia Central,Ingreso medio bajo,
Latvia,Europe & Central Asia,Europe,LVA,High income,Letonia,Europa,Europa y Asia Central,Ingreso alto,
Lebanon,Middle East & North Africa,Asia,LBN,Upper middle income,Líbano,Asia,Oriente Medio y Africa del Norte,Ingreso medio alto,
Liberia,Sub-Saharan Africa,Africa,LBR,Low income,Liberia,Africa,Africa subsahariana,Ingreso bajo,
Libya,Middle East & North Africa,Africa,LBY,Upper middle income,Libia,Africa,Oriente Medio y Africa del Norte,Ingreso medio alto,
Liechtenstein,Europe & Central Asia,Europe,LIE,High income,Liechtenstein,Europa,Europa y Asia Central,Ingreso alto,
Lithuania,Europe & Central Asia,Europe,LTU,High income,Lituania,Europa,Europa y Asia Central,Ingreso alto,
Luxembourg,Europe & Central Asia,Europe,LUX,High income,Luxemburgo,Europa,Europa y Asia Central,Ingreso alto,
Madagascar,Sub-Saharan Africa,Africa,MDG,Low income,Madagascar,Africa,Africa subsahariana,Ingreso bajo,
Malawi,Sub-Saharan Africa,Africa,MWI,Low income,Malawi,Africa,Africa subsahariana,Ingreso bajo,
Malaysia,East Asia & Pacific,Asia,MYS,Upper middle income,Malasia,Asia,Asia oriental y el Pacífico,Ingreso medio alto,
Maldives,South Asia,Asia,MDV,Upper middle income,Maldivas,Asia,Asia del Sur,Ingreso medio alto,
Mali,Sub-Saharan Africa,Africa,MLI,Low income,Malí,Africa,Africa subsahariana,Ingreso bajo,
Malta,Middle East & North Africa,Europe,MLT,High income,Malta,Europa,Oriente Medio y Africa del Norte,Ingreso alto,
Mauritania,Sub-Saharan Africa,Africa,MRT,Lower middle income,Mauritania,Africa,Africa subsahariana,Ingreso medio bajo,
Mauritius,Sub-Saharan Africa,Africa,MUS,Upper middle income,Mauricio,Africa,Africa subsahariana,Ingreso medio alto,
Mexico,Latin America & Caribbean,Americas,MEX,Upper middle income,México,América,América Latina y el Caribe,Ingreso medio alto,Mexico
Moldova,Europe & Central Asia,Europe,MDA,Lower middle income,República de Moldova,Europa,Europa y Asia Central,Ingreso medio bajo,
Monaco,Europe & Central Asia,Europe,MCO,High income,Mónaco,Europa,Europa y Asia Central,Ingreso alto,
Montenegro,Europe & Central Asia,Europe,MNE,Upper middle income,Montenegro,Europa,Europa y Asia Central,Ingreso medio alto,
Morocco,Middle East & North Africa,Africa,MAR,Lower middle income,Marruecos,Africa,Oriente Medio y Africa del Norte,Ingreso medio bajo,
Mozambique,Sub-Saharan Africa,Africa,MOZ,Low income,Mozambique,Africa,Africa subsahariana,Ingreso bajo,
Nepal,South Asia,Asia,NPL,Low income,Nepal,Asia,Asia del Sur,Ingreso bajo,
Netherlands,Europe & Central Asia,Africa,NLD,High income,Países Bajos,Africa,Europa y Asia Central,Ingreso alto,
New Zealand,East Asia & Pacific,Oceania,NZL,High income,Nueva Zelandia,Oceanía,Asia oriental y el Pacífico,Ingreso alto,
Nicaragua,Latin America & Caribbean,Americas,NIC,Lower middle income,Nicaragua,América,América Latina y el Caribe,Ingreso medio bajo,Nicarágua
Niger,Sub-Saharan Africa,Africa,NER,Low income,Niger,Africa,Africa subsahariana,Ingreso bajo,
Nigeria,Sub-Saharan Africa,Africa,NGA,Lower middle income,Nigeria,Africa,Africa subsahariana,Ingreso medio bajo,
North Macedonia,Europe & Central Asia,Europe,MKD,Upper middle income,ex República Yugoslava de Macedonia,Europa,Europa y Asia Central,Ingreso medio alto,
Norway,Europe & Central Asia,Europe,NOR,High income,Noruega,Europa,Europa y Asia Central,Ingreso alto,
Oman,Middle East & North Africa,Asia,OMN,High income,Omán,Asia,Oriente Medio y Africa del Norte,Ingreso alto,
Pakistan,South Asia,Asia,PAK,Lower middle income,Pakistán,Asia,Asia del Sur,Ingreso medio bajo,
Panama,Latin America & Caribbean,Americas,PAN,High income,Panamá,América,América Latina y el Caribe,Ingreso alto,Panamá
Paraguay,Latin America & Caribbean,Americas,PRY,Upper middle income,Paraguay,América,América Latina y el Caribe,Ingreso medio alto,Paraguai
Peru,Latin America & Caribbean,Americas,PER,Upper middle income,Perú,América,América Latina y el Caribe,Ingreso medio alto,Peru
Philippines,East Asia & Pacific,Asia,PHL,Lower middle income,Filipinas,Asia,Asia oriental y el Pacífico,Ingreso medio bajo,
Poland,Europe & Central Asia,Europe,POL,High income,Polonia,Europa,Europa y Asia Central,Ingreso alto,
Portugal,Europe & Central Asia,Europe,PRT,High income,Portugal,Europa,Europa y Asia Central,Ingreso alto,
Qatar,Middle East & North Africa,Asia,QAT,High income,Qatar,Asia,Oriente Medio y Africa del Norte,Ingreso alto,
Romania,Europe & Central Asia,Europe,ROU,Upper middle income,Rumania,Europa,Europa y Asia Central,Ingreso medio alto,
Russia,Europe & Central Asia,Europe,RUS,Upper middle income,Federación de Rusia,Europa,Europa y Asia Central,Ingreso medio alto,
Rwanda,Sub-Saharan Africa,Africa,RWA,Low income,Rwanda,Africa,Africa subsahariana,Ingreso bajo,
San Marino,Europe & Central Asia,Europe,SMR,High income,San Marino,Europa,Europa y Asia Central,Ingreso alto,
Sao Tome and Principe,Sub-Saharan Africa,Africa,STP,Lower middle income,Santo Tomé y Príncipe,Africa,Africa subsahariana,Ingreso medio bajo,
Saudi Arabia,Middle East & North Africa,Asia,SAU,High income,Arabia Saudita,Asia,Oriente Medio y Africa del Norte,Ingreso alto,
Senegal,Sub-Saharan Africa,Africa,SEN,Lower middle income,Senegal,Africa,Africa subsahariana,Ingreso medio bajo,
Serbia,Europe & Central Asia,Europe,SRB,Upper middle income,Serbia,Europa,Europa y Asia Central,Ingreso medio alto,
Sierra Leone,Sub-Saharan Africa,Africa,SLE,Low income,Sierra Leona,Africa,Africa subsahariana,Ingreso bajo,
Singapore,East Asia & Pacific,Asia,SGP,High income,Singapur,Asia,Asia oriental y el Pacífico,Ingreso alto,
Slovakia,Europe & Central Asia,Europe,SNK,NA,Eslovaquia,Europa,Europa y Asia Central,NA,
Slovenia,Europe & Central Asia,Europe,SVN,High income,Eslovenia,Europa,Europa y Asia Central,Ingreso alto,
Somalia,Sub-Saharan Africa,Africa,SOM,Low income,Somalia,Africa,Africa subsahariana,Ingreso bajo,
South Africa,Sub-Saharan Africa,Africa,ZAF,Upper middle income,Sudáfrica,Africa,Africa subsahariana,Ingreso medio alto,
South Sudan,Sub-Saharan Africa,Africa,SSD,Low income,Sudán del Sur,Africa,Africa subsahariana,Ingreso bajo,
Spain,Europe & Central Asia,Europe,ESP,High income,España,Europa,Europa y Asia Central,Ingreso alto,
Sri Lanka,South Asia,Asia,LKA,Upper middle income,Sri Lanka,Asia,Asia del Sur,Ingreso medio alto,
Sudan,Sub-Saharan Africa,Africa,SDN,Lower middle income,Sudán,Africa,Africa subsahariana,Ingreso medio bajo,
Suriname,Latin America & Caribbean,Americas,SUR,Upper middle income,Suriname,América,América Latina y el Caribe,Ingreso medio alto,
Sweden,Europe & Central Asia,Europe,SWE,High income,Suecia,Europa,Europa y Asia Central,Ingreso alto,
Switzerland,Europe & Central Asia,Europe,CHE,High income,Suiza,Europa,Europa y Asia Central,Ingreso alto,
Syria,Middle East & North Africa,Asia,SYR,Low income,República Árabe Siria,Asia,Oriente Medio y Africa del Norte,Ingreso bajo,
Taiwan*,East Asia & Pacific,Asia,TWN,NA,Taiwán,Asia,Asia oriental y el Pacífico,NA,
Tajikistan,Europe & Central Asia,Asia,TJK,Low income,Tayikistán,Asia,Europa y Asia Central,Ingreso bajo,
Tanzania,Sub-Saharan Africa,Africa,TZA,Low income,República Unida de Tanzanía,Africa,Africa subsahariana,Ingreso bajo,
Thailand,East Asia & Pacific,Asia,THA,Upper middle income,Tailandia,Asia,Asia oriental y el Pacífico,Ingreso medio alto,
Togo,Sub-Saharan Africa,Africa,TGO,Low income,Togo,Africa,Africa subsahariana,Ingreso bajo,
Trinidad and Tobago,Latin America & Caribbean,Americas,TTO,High income,Trinidad y Tobago,América,América Latina y el Caribe,Ingreso alto,
Tunisia,Middle East & North Africa,Africa,TUN,Lower middle income,Túnez,Africa,Oriente Medio y Africa del Norte,Ingreso medio bajo,
Turkey,Europe & Central Asia,Asia,TUR,Upper middle income,Turquía,Asia,Europa y Asia Central,Ingreso medio alto,
Ukraine,Europe & Central Asia,Europe,UKR,Lower middle income,Ucrania,Europa,Europa y Asia Central,Ingreso medio bajo,
United Arab Emirates,Middle East & North Africa,Asia,ARE,High income,Emiratos Árabes Unidos,Asia,Oriente Medio y Africa del Norte,Ingreso alto,
United Kingdom,Europe & Central Asia,Europe,GBR,High income,Reino Unido de Gran Bretaña e Irlanda del Norte,Europa,Europa y Asia Central,Ingreso alto,
Uruguay,Latin America & Caribbean,Americas,URY,High income,Uruguay,América,América Latina y el Caribe,Ingreso alto,Uruguai
US,North America,Americas,USA,High income,Estados Unidos de América,América,América del Norte,Ingreso alto,
Uzbekistan,Europe & Central Asia,Asia,UZB,Lower middle income,Uzbekistán,Asia,Europa y Asia Central,Ingreso medio bajo,
Venezuela,Latin America & Caribbean,Americas,VEN,Upper middle income,Venezuela (República Bolivariana de),América,América Latina y el Caribe,Ingreso medio alto,Venezuela
West Bank and Gaza,Middle East & North Africa,Asia,PSE,Lower middle income,Cisjordania y Gaza,Asia,Oriente Medio y Africa del Norte,Ingreso medio bajo,
Western Sahara,Middle East & North Africa,Africa,ESH,NA,Sahara Occidental,Africa,Oriente Medio y Africa del Norte,NA,
Yemen,Middle East & North Africa,Asia,YEM,Low income,Yemen,Asia,Oriente Medio y Africa del Norte,Ingreso bajo,
Zambia,Sub-Saharan Africa,Africa,ZMB,Lower middle income,Zambia,Africa,Africa subsahariana,Ingreso medio bajo,
Zimbabwe,Sub-Saharan Africa,Africa,ZWE,Lower middle income,Zimbabwe,Africa,Africa subsahariana,Ingreso medio bajo,
Bhutan,South Asia,Asia,BTN,Lower middle income,Bhután,Asia,Asia del Sur,Ingreso medio bajo,
Cambodia,East Asia & Pacific,Asia,KHM,Lower middle income,Camboya,Asia,Asia oriental y el Pacífico,Ingreso medio bajo,
Dominica,Latin America & Caribbean,Americas,DMA,Upper middle income,Dominica,América,América Latina y el Caribe,Ingreso medio alto,
Eritrea,Sub-Saharan Africa,Africa,ERI,Low income,Eritrea,Africa,Africa subsahariana,Ingreso bajo,
Fiji,East Asia & Pacific,Oceania,FJI,Upper middle income,Fiji,Oceanía,Asia oriental y el Pacífico,Ingreso medio alto,
Grenada,Latin America & Caribbean,Americas,GRD,Upper middle income,Granada,América,América Latina y el Caribe,Ingreso medio alto,
Holy See,Europe & Central Asia,Europe,VAT,NA,Vaticano,Europa,Europa y Asia Central,NA,
Laos,East Asia & Pacific,Asia,LAO,Lower middle income,República Democrática Popular Lao,Asia,Asia oriental y el Pacífico,Ingreso medio bajo,
Lesotho,Sub-Saharan Africa,Africa,LSO,Lower middle income,Lesotho,Africa,Africa subsahariana,Ingreso medio bajo,
"Macao SAR, China",East Asia & Pacific,Asia,MAC,High income,Macao SAR,Asia,Asia oriental y el Pacífico,Ingreso alto,
Mongolia,East Asia & Pacific,Asia,MNG,Lower middle income,Mongolia,Asia,Asia oriental y el Pacífico,Ingreso medio bajo,
Namibia,Sub-Saharan Africa,Africa,NAM,Upper middle income,Namibia,Africa,Africa subsahariana,Ingreso medio alto,
Papua New Guinea,East Asia & Pacific,Oceania,PNG,Lower middle income,Papua Nueva Guinea,Oceanía,Asia oriental y el Pacífico,Ingreso medio bajo,
Saint Kitts and Nevis,Latin America & Caribbean,Americas,KNA,High income,Saint Kitts y Nevis,América,América Latina y el Caribe,Ingreso alto,
Saint Lucia,Latin America & Caribbean,Americas,LCA,Upper middle income,Santa Lucía,América,América Latina y el Caribe,Ingreso medio alto,
Saint Vincent and the Grenadines,Latin America & Caribbean,Americas,VCT,Upper middle income,San Vicente y las Granadinas,América,América Latina y el Caribe,Ingreso medio alto,
Seychelles,Sub-Saharan Africa,Africa,SYC,High income,Seychelles,Africa,Africa subsahariana,Ingreso alto,
Timor-Leste,East Asia & Pacific,Asia,TLS,Lower middle income,Timor-Leste,Asia,Asia oriental y el Pacífico,Ingreso medio bajo,
Uganda,Sub-Saharan Africa,Africa,UGA,Low income,Uganda,Africa,Africa subsahariana,Ingreso bajo,
Vietnam,East Asia & Pacific,Asia,VNM,Lower middle income,Viet Nam,Asia,Asia oriental y el Pacífico,Ingreso medio bajo,